epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,758.207,2.85951,4.77432,1.99804,0.11179,0.0449,0.02704,0.00903,2.55377,4.02805,2.03424,0.000661247,0.000661247,0.000661247
2,1527.22,2.18341,3.3476,1.55558,0.03907,0.08163,0.02187,0.00951,2.33465,3.86542,2.02744,0.00130162,0.00130162,0.00130162
3,2297.61,2.01147,2.87629,1.47825,0.28006,0.19388,0.20343,0.08532,1.78688,2.53316,1.59886,0.00191559,0.00191559,0.00191559
4,3066.12,1.8786,2.55651,1.42366,0.48868,0.15019,0.24051,0.09391,2.01702,2.50764,1.71792,0.0018812,0.0018812,0.0018812
5,3816.11,1.82406,2.39977,1.41066,0.71372,0.40612,0.48079,0.20406,1.70062,2.32143,1.5589,0.0018416,0.0018416,0.0018416
6,4568.24,1.74927,2.24783,1.36047,0.37167,0.44694,0.33322,0.11871,1.65369,2.51151,1.51647,0.001802,0.001802,0.001802
7,5315.5,1.66282,2.04915,1.29892,0.67328,0.65102,0.66865,0.35719,1.44869,1.86757,1.44196,0.0017624,0.0017624,0.0017624
8,6063.42,1.60881,1.92596,1.27425,0.60517,0.7449,0.65558,0.31787,1.47467,1.94527,1.47264,0.0017228,0.0017228,0.0017228
9,6811.29,1.6075,1.90766,1.28696,0.95062,0.86427,0.93025,0.58069,1.17057,1.25298,1.32769,0.0016832,0.0016832,0.0016832
10,7563.49,1.51468,1.73065,1.23224,0.89245,0.72816,0.82026,0.49962,1.32333,1.60811,1.36142,0.0016436,0.0016436,0.0016436
